VEHICLE_ID,REPAIR_ORDER_NO,REPAIR_ORDER_DATE,ODOMETER,REPAIR_CODE,QTY,COST,DESCRIPTION
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,17001002,2,165,"TIRE, RADIAL  RIB TREAD"
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,17002001,2,25,"TIRE , SEMI-PNEUMATIC, TREAD"
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,32001001,1,149.95,BATTERY
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,17001A02,2,1.5,"TIRE, DISPOSAL FEE"
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,53999A01,1,149.3,SALES TAX
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,33003005,1,77.17,PLUG - SPARK
8AC8AE22D7BDDFA9FC22C6AE0DC90542,133E985864B51C0399B53CAC068BB3B5,2018-03-15,144990,17001A01,2,1.35,F.E.T.
04799ADA4BE8C44CFFC78543479556AF,5D1943328A72C6CE19FE1D9210877D84,2018-10-19,166887,17002001,4,18.49,"TIRE , SEMI-PNEUMATIC, TREAD"
04799ADA4BE8C44CFFC78543479556AF,5D1943328A72C6CE19FE1D9210877D84,2018-10-19,166887,17001001,4,129.05,"TIRE, RADIAL  LUG TREAD"
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,34002001,1,102.5,TAIL LAMP HOUSING ASSEMBLY ( TAIL / TURN / STOP )
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,17009030,1,30.75,ECU - (TPMS) TIRE PRESSURE MONITORING SYSTEM
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,1E001003,1,28.23,CHASSIS GREASE (PER TUB OR TUBE)
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,34002022,1,175.59,"LAMP ASSEMBLY , REAR TAIL, STOP, & LICENSE COMBINATION"
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,53999A01,1,15.03,SALES TAX
04799ADA4BE8C44CFFC78543479556AF,0B7AE409FD29B334003B77B72A2B45BB,2018-08-22,163190,2024026,1,3.99,"SOLVENT , WINDSHIELD WASHER"
04799ADA4BE8C44CFFC78543479556AF,1539B0D7F1BF97C7E9AD135CB0A6A732,2018-08-10,163462,1.00E+00,1,93.99,"LUBE, OIL"
04799ADA4BE8C44CFFC78543479556AF,1539B0D7F1BF97C7E9AD135CB0A6A732,2018-08-10,163462,15001001,1,65.79,STEERING WHEEL ASSEMBLY
04799ADA4BE8C44CFFC78543479556AF,1539B0D7F1BF97C7E9AD135CB0A6A732,2018-08-10,163462,20001001,1,99.99,DRIVE TRAIN DIAGNOSIS
04799ADA4BE8C44CFFC78543479556AF,1539B0D7F1BF97C7E9AD135CB0A6A732,2018-08-10,163462,15001001,1,289.5,WHEEL - STEERING
